CODPRO;NOMEPRO;DESCPROCORTAM;ESTPROCORTAM;PRCOMPRAPRO;PRVENDAPRO;DTCADPRO;;;
121.847;CALCA FEM JEANS CLCHARD REFARM FARM;JEANS - 36;1;174,5;389;18.02.2021;; R$ 174,50 ;389
104.524;SAIA FEM MIDI BORDADO PEDRAS PATBO;PRETO - 40;1;1.240,00;2.728,99;04.01.2017;; R$ 1.240,00 ;2728,99
114.812;SHORT FEM CLOCHARD CJ FAIXA COLCCI;VERDE ESC - 38;1;192,99;434;05.06.2019;; R$ 192,99 ;434
106.403;BRINCO FEM PEDRAS GRANDES DONAIRE;PINK - UN;1;40;99;23.06.2017;; R$ 40,00 ;99
106.442;MEIA MASC AM SAPATILHA41 A 44  LUPO;MARINHO - UN;6;6,9;19;30.06.2017;; R$ 41,40 ;114
114.797;BLUSA FEM MC C/FECHO ATRAS COLCCI;ROXO - M;1;103,02;232;04.06.2019;; R$ 103,02 ;232
104.612;CALCA MASC CHINO ALGODAO/ ELASTANO VR;BORDO - 38;2;174,8;389;07.02.2017;; R$ 349,60 ;778
106.404;ANEL FEM PEDRAS GRANDE DONAIRE;PRETO - UN;1;70;159;23.06.2017;; R$ 70,00 ;159
107.917;CAMISA MASC M/L ESTAMPADA MOEDA VR;AZUL - 2;1;136,13;329;31.01.2018;; R$ 136,13 ;329
115.319;BLUSA FEM REGATA BASICA APARTAMENTO 03;PINK - 38;1;179,1;477;12.08.2019;; R$ 179,10 ;477
104.551;CALCA FEM BICOLOR PATBO;PRETO - 42;1;545,45;1.208,99;26.01.2017;; R$ 545,45 ;1208,99
106.552;CAMISETA POLO MASC MC GOLA LIST. COLCCI;ROSA - GG;1;56,07;126;11.08.2017;; R$ 56,07 ;126
104.532;VESTIDO FEM MG 3/4 CURTO DENIM STAMP LITT;JEANS - 38;1;220;528,99;25.01.2017;; R$ 220,00 ;528,99
106.506;CALCA JEANS MASC FELIPE COLCCI;JEANS ESC - 36;1;105,44;229,01;28.07.2017;; R$ 105,44 ;229,01
114.797;BLUSA FEM MC C/FECHO ATRAS COLCCI;ROXO - G;1;103,02;232;04.06.2019;; R$ 103,02 ;232
104.524;SAIA FEM MIDI BORDADO PEDRAS PATBO;OFF WHITE - 36;1;1.240,00;2.728,99;04.01.2017;; R$ 1.240,00 ;2728,99
105.170;VESTIDO FEM ML SINO CURTO AMARRACAO MAS ANIMALE;VERDE - 40;1;135,45;319;09.03.2017;; R$ 135,45 ;319
104.552;CAMISA FEM ML BABADO PATBO;ROSE - 36;1;427,27;949,01;26.01.2017;; R$ 427,27 ;949,01
114.797;BLUSA FEM MC C/FECHO ATRAS COLCCI;ROXO - GG;1;103,02;232;04.06.2019;; R$ 103,02 ;232
105.487;BOTA MASC COURO SOLADO BORRACHA DEMOCRATA;RATO - 38;1;88,7;199;24.03.2017;; R$ 88,70 ;199
114.797;BLUSA FEM MC C/FECHO ATRAS COLCCI;OFF WHITE - GG;1;103,02;232;04.06.2019;; R$ 103,02 ;232
113.864;CALCA FEM MOLETOM DET BARRA PATBO;PRETO - 36;1;316,67;769;20.03.2019;; R$ 316,67 ;769
104.532;VESTIDO FEM MG 3/4 CURTO DENIM STAMP LITT;JEANS - 36;1;220;528,99;25.01.2017;; R$ 220,00 ;528,99
105.790;CALCA FEM JEANS BORD LYMULTI MADERO CARMIM;BRANCO - 36;1;332,5;875,01;10.04.2017;; R$ 332,50 ;875,01
114.616;BLUSA FEM ML FIVELA COLCCI;ROSA GARNETT - P;1;100,41;226;16.05.2019;; R$ 100,41 ;226
114.616;BLUSA FEM ML FIVELA COLCCI;ROSA GARNETT - M;1;100,41;226;16.05.2019;; R$ 100,41 ;226
114.616;BLUSA FEM ML FIVELA COLCCI;ROSA GARNETT - G;1;100,41;226;16.05.2019;; R$ 100,41 ;226
114.814;VESTIDO FEM MID C/ ZIPER COLCCI;BORDO - P;1;155,17;348,99;05.06.2019;; R$ 155,17 ;348,99
105.003;BLUSA FEM ML LISTRA MESCLA MAS ANIMALE;CHUMBO - P;1;135,45;319;03.03.2017;; R$ 135,45 ;319
105.790;CALCA FEM JEANS BORD LYMULTI MADERO CARMIM;BRANCO - 32;1;332,5;875,01;10.04.2017;; R$ 332,50 ;875,01
114.796;VESTIDO FEM REGATA MID DETALHE GOLA COLCCI;PRETO - 34;1;116,05;261;04.06.2019;; R$ 116,05 ;261
105.452;BLUSA MASC MOLETON M/L BORDADO COLCCI;PRETO - PP;1;71,71;162;22.03.2017;; R$ 71,71 ;162
109.927;TENIS FEM SALTO RASTEIRO MULTIMATERIAL SCHUTZ;PRETO - 38;1;204,65;440;20.07.2018;; R$ 204,65 ;440
114.816;JAQUETA FEM ML JEANS ESTAMPADA COLCCI;JEANS - PP;1;335,12;753;05.06.2019;; R$ 335,12 ;753
106.658;SAPATO FEM SCARPIN SALTO MEDIO ACAMURCADOS SCHUTZ;ROSE - 35;1;139,54;300;30.08.2017;; R$ 139,54 ;300
114.817;VESTIDO FEM CURTO LISTRADO COLCCI;PRETO - 38;1;402,93;905;05.06.2019;; R$ 402,93 ;905
104.832;CASACO FEM ML COURO LONGO CJ C/ CINTO PATBO;NUDI - 36;2;1.727,27;3.808,98;17.02.2017;; R$ 3.454,54 ;7617,96
105.368;SAIA FEM MIDI PATBO;PRETO - 40;1;522,72;1.158,97;17.03.2017;; R$ 522,72 ;1158,97
106.985;BLUSA FEM MG 3/4 AMPLA CREPE SHOULDER;VERDE - P;1;132,55;299;09.10.2017;; R$ 132,55 ;299
114.817;VESTIDO FEM CURTO LISTRADO COLCCI;PRETO - 40;1;402,93;905;05.06.2019;; R$ 402,93 ;905
